long,lat,year,TimePeriod,RCP,scenario,treecanopy_percent,Ann_Herb_percent,Bare_percent,Herb_percent,Litter_percent,Shrub_percent,DrySoilDays_Summer_whole,Evap_Summer,ExtremeShortTermDryStress_Summer_whole,FrostDays_Winter,NonDrySWA_Summer_whole,PPT_Winter,PPT_Summer,T_Winter,T_Summer,Tmax_Summer,Tmin_Winter,VWC_Winter_whole,VWC_Spring_whole,VWC_Summer_whole,VWC_Fall_whole
-110.047,37.604,2021,NT,8.5,sc49,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.585,36.937,70.0,0.0,11.32,4.11,0.925,24.281,38.67,-22.92,0.136,0.077,0.042,0.047
-110.047,37.604,2021,NT,8.5,sc50,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.287,32.84,83.0,0.177,11.07,13.08,-1.747,22.422,33.46,-21.03,0.135,0.091,0.046,0.069
-110.047,37.604,2021,NT,8.5,sc51,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.528,35.056,78.0,0.412,3.21,11.97,-0.038,24.208,36.07,-15.26,0.131,0.068,0.05,0.113
-110.047,37.604,2021,NT,8.5,sc52,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.498,34.804,87.0,0.441,16.88,10.36,-4.154,23.507,36.14,-18.29,0.128,0.095,0.051,0.062
-110.047,37.604,2021,NT,8.5,sc53,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.015,36.128,85.0,0.004,1.65,4.45,0.552,24.049,37.64,-13.8,0.043,0.042,0.042,0.081
-110.047,37.604,2021,NT,8.5,sc54,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.065,36.975,81.0,0.001,10.15,2.89,-0.774,25.379,37.43,-15.32,0.08,0.092,0.041,0.042
-110.047,37.604,2021,NT,8.5,sc55,0.0,0.0,78.505,4.673,10.28,0.0,0.0,6.379,35.185,73.0,0.381,7.83,13.53,1.796,22.179,36.92,-12.56,0.134,0.089,0.05,0.068
-110.047,37.604,2021,NT,8.5,sc56,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.678,34.823,80.0,0.374,9.38,11.24,0.88,23.089,35.88,-13.03,0.134,0.086,0.05,0.058
-110.047,37.604,2021,NT,8.5,sc57,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.59,36.848,48.0,0.05,8.76,5.23,4.756,24.427,39.57,-7.82,0.089,0.089,0.042,0.053
-110.047,37.604,2021,NT,8.5,sc58,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.087,40.56,59.0,0.209,3.27,12.95,1.644,25.958,46.11,-21.87,0.061,0.044,0.046,0.047
-110.047,37.604,2021,NT,8.5,sc59,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.17,36.195,54.0,0.086,3.68,7.01,4.045,24.738,37.4,-7.98,0.095,0.058,0.043,0.126
-110.047,37.604,2021,NT,8.5,sc60,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.089,36.104,89.0,0.085,2.9,7.13,-2.064,23.558,37.13,-16.87,0.045,0.057,0.044,0.086
-110.047,37.604,2021,NT,8.5,sc61,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.0,37.05,50.0,0.001,12.34,1.95,3.257,24.651,38.21,-15.57,0.123,0.094,0.041,0.079
-110.047,37.604,2022,NT,4.5,sc22,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.812,36.77,76.0,0.017,1.95,4.79,2.071,25.174,37.84,-7.93,0.064,0.06,0.041,0.046
-110.047,37.604,2022,NT,4.5,sc23,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.951,36.685,65.0,0.001,17.4,4.83,1.933,24.462,38.18,-11.86,0.139,0.085,0.042,0.103
-110.047,37.604,2022,NT,4.5,sc24,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.389,36.306,60.0,0.055,6.49,7.43,2.367,24.922,38.31,-8.04,0.132,0.08,0.043,0.076
-110.047,37.604,2022,NT,4.5,sc25,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.519,37.309,80.0,0.014,10.58,4.15,0.264,24.763,38.57,-12.94,0.1,0.097,0.041,0.048
-110.047,37.604,2022,NT,4.5,sc26,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.1,35.367,89.0,0.133,4.17,8.64,-3.654,22.752,37.81,-29.67,0.044,0.054,0.045,0.047
-110.047,37.604,2022,NT,4.5,sc27,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.042,36.451,72.0,0.105,2.72,6.89,0.902,24.782,37.29,-20.0,0.064,0.048,0.044,0.051
-110.047,37.604,2022,NT,4.5,sc28,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.063,36.91,79.0,0.717,7.56,14.1,-0.306,24.742,38.92,-15.53,0.083,0.072,0.056,0.043
-110.047,37.604,2022,NT,4.5,sc29,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.358,38.064,72.0,0.0,5.58,3.57,0.127,25.365,39.16,-17.78,0.075,0.053,0.041,0.043
-110.047,37.604,2022,NT,4.5,sc30,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.228,36.794,71.0,0.099,4.77,8.87,1.677,24.628,38.8,-11.78,0.054,0.064,0.044,0.061
-110.047,37.604,2022,NT,4.5,sc31,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.916,36.274,50.0,0.077,5.35,7.1,3.827,23.964,37.4,-7.44,0.127,0.078,0.044,0.089
-110.047,37.604,2022,NT,4.5,sc32,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.055,37.773,64.0,0.0,3.05,3.4,3.146,24.841,39.5,-8.96,0.118,0.066,0.041,0.085
-110.047,37.604,2022,NT,4.5,sc33,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.809,37.143,76.0,0.155,8.24,5.23,-0.498,23.62,37.77,-19.55,0.118,0.084,0.044,0.107
-110.047,37.604,2022,NT,4.5,sc34,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.58,35.201,72.0,0.315,3.02,11.53,2.083,24.821,35.57,-12.18,0.112,0.091,0.048,0.119
-110.047,37.604,2022,NT,4.5,sc35,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.532,36.588,80.0,0.0,4.47,1.86,2.19,24.15,37.86,-15.29,0.104,0.081,0.041,0.059
-110.047,37.604,2022,NT,4.5,sc36,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.721,36.373,75.0,0.047,2.44,7.65,2.263,24.777,36.95,-10.16,0.056,0.047,0.043,0.066
-110.047,37.604,2022,NT,4.5,sc37,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.844,36.343,68.0,0.0,2.96,2.48,1.702,24.465,37.63,-14.6,0.059,0.048,0.041,0.048
-110.047,37.604,2022,NT,4.5,sc38,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.824,38.67,75.0,0.462,6.53,11.23,0.572,23.986,40.16,-11.92,0.12,0.081,0.052,0.07
-110.047,37.604,2022,NT,4.5,sc39,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.337,36.768,68.0,0.032,3.57,5.85,2.456,25.521,37.92,-12.75,0.057,0.05,0.042,0.043
-110.047,37.604,2022,NT,4.5,sc40,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.329,38.279,81.0,0.0,6.75,4.67,0.129,26.005,39.02,-12.4,0.129,0.09,0.041,0.068
-110.047,37.604,2022,NT,4.5,sc41,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.178,37.879,79.0,0.003,5.76,3.52,-0.929,25.863,39.3,-27.72,0.067,0.054,0.041,0.043
-110.047,37.604,2022,NT,8.5,sc42,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.921,36.707,72.0,0.001,10.8,4.55,0.99,23.958,38.03,-12.98,0.123,0.091,0.042,0.06
-110.047,37.604,2022,NT,8.5,sc43,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.095,37.032,61.0,0.115,7.85,10.76,2.369,23.84,37.74,-8.15,0.108,0.092,0.044,0.079
-110.047,37.604,2022,NT,8.5,sc44,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.97,37.094,64.0,0.112,6.22,7.42,2.404,24.699,38.54,-15.4,0.116,0.074,0.044,0.05
-110.047,37.604,2022,NT,8.5,sc45,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.72,38.338,63.0,0.039,1.85,6.83,2.708,25.467,39.66,-8.65,0.108,0.085,0.042,0.059
-110.047,37.604,2022,NT,8.5,sc46,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.343,39.096,77.0,0.0,4.43,1.79,3.109,26.367,39.84,-7.58,0.06,0.046,0.041,0.05
-110.047,37.604,2022,NT,8.5,sc47,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.123,37.318,72.0,0.176,14.76,5.57,0.421,23.594,39.71,-12.04,0.124,0.08,0.045,0.049
-110.047,37.604,2022,NT,8.5,sc48,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.322,38.609,84.0,0.146,2.14,9.5,1.291,26.132,40.14,-13.12,0.108,0.058,0.045,0.044
-110.047,37.604,2022,NT,8.5,sc49,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.939,36.66,62.0,0.0,4.62,2.45,2.77,24.547,37.73,-9.54,0.085,0.092,0.041,0.07
-110.047,37.604,2022,NT,8.5,sc50,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.638,32.844,74.0,0.146,7.24,12.5,0.359,21.068,33.99,-12.75,0.106,0.094,0.045,0.066
-110.047,37.604,2022,NT,8.5,sc51,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.818,38.395,65.0,0.219,6.83,7.7,0.863,25.342,39.04,-17.57,0.108,0.091,0.046,0.112
-110.047,37.604,2022,NT,8.5,sc52,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.156,37.903,61.0,0.008,3.36,3.22,4.105,24.838,39.51,-8.22,0.088,0.064,0.042,0.042
